Samples,profile_id,latitude,longitude,BD (g/cm3),SOC (g/kg),SOCD (kg/m2),upper_dept,lower_dept,Depth,DEM,NDVI,MAT,MAP,PET,AI,pH,Sand,Silt,Clay,CLCD,SOCD__meth,References,Year
18085,5105,36.63,112.42,0,0,10.21,0,100,50,1129.18 ,0.61 ,8.79 ,45.33 ,1350.00 ,0.40 ,8.22 ,32.41 ,49.31 ,82.19 ,2,Prediction,"Xu et al., 2018",2014
18086,5106,34.016,107.0019,0,0,1.9,0,20,10,1489.81 ,0.66 ,9.61 ,60.25 ,1059.31 ,0.68 ,7.32 ,15.42 ,63.58 ,73.15 ,3,Prediction,"Xu et al., 2018",2014
18087,5106,34.016,107.0019,0,0,4.14,0,100,50,1489.81 ,0.66 ,9.61 ,60.25 ,1059.31 ,0.68 ,7.44 ,14.04 ,64.04 ,74.36 ,3,Prediction,"Xu et al., 2018",2014
18088,5107,34.0154,107.002,0,0,1.99,0,20,10,1477.34 ,0.66 ,9.67 ,60.25 ,1061.00 ,0.68 ,7.32 ,15.21 ,63.94 ,73.19 ,3,Prediction,"Xu et al., 2018",2014
18089,5107,34.0154,107.002,0,0,4.3,0,100,50,1477.34 ,0.66 ,9.67 ,60.25 ,1061.00 ,0.68 ,7.45 ,14.04 ,64.25 ,74.49 ,3,Prediction,"Xu et al., 2018",2014
18090,5108,34.0138,107.002,0,0,2.06,0,20,10,1476.72 ,0.66 ,9.67 ,60.25 ,1061.00 ,0.68 ,7.27 ,15.20 ,63.84 ,72.74 ,2,Prediction,"Xu et al., 2018",2014
18091,5108,34.0138,107.002,0,0,5.45,0,100,50,1476.72 ,0.66 ,9.67 ,60.25 ,1061.00 ,0.68 ,7.40 ,14.12 ,64.32 ,73.97 ,2,Prediction,"Xu et al., 2018",2014
18092,5109,28.59,106.51,0,0,4.58,0,20,10,1245.00 ,0.57 ,12.95 ,91.91 ,955.94 ,1.15 ,6.12 ,54.78 ,24.17 ,61.16 ,2,Prediction,"Xu et al., 2018",2014
18093,5110,28.52,106.48,0,0,5.32,0,20,10,1188.53 ,0.57 ,13.51 ,91.00 ,974.00 ,1.12 ,5.93 ,43.45 ,30.62 ,59.32 ,2,Prediction,"Xu et al., 2018",2014
18094,5111,28.65,106.37,0,0,5.55,0,20,10,1275.57 ,0.58 ,13.17 ,91.47 ,956.56 ,1.15 ,6.01 ,47.66 ,28.61 ,60.06 ,2,Prediction,"Xu et al., 2018",2014
18095,5112,28.61,106.29,0,0,5.63,0,20,10,1026.70 ,0.59 ,14.51 ,89.82 ,988.73 ,1.09 ,6.08 ,50.15 ,26.08 ,60.76 ,2,Prediction,"Xu et al., 2018",2014
18096,5113,28.73,106.43,0,0,5.75,0,20,10,567.16 ,0.65 ,16.80 ,90.58 ,1052.00 ,1.03 ,6.08 ,32.90 ,37.63 ,60.83 ,1,Prediction,"Xu et al., 2018",2014
18097,5114,34.84,107.21,0,0,5.41,0,20,10,1235.78 ,0.54 ,9.66 ,51.58 ,1133.00 ,0.55 ,7.58 ,16.81 ,62.17 ,75.82 ,2,Prediction,"Xu et al., 2018",2014
18098,5114,34.84,107.21,0,0,11.85,0,100,50,1235.78 ,0.54 ,9.66 ,51.58 ,1133.00 ,0.55 ,7.68 ,13.83 ,64.06 ,76.82 ,2,Prediction,"Xu et al., 2018",2014
18099,5115,36.67,112.08,0,0,5.48,0,20,10,1641.70 ,0.56 ,5.85 ,47.67 ,1223.00 ,0.47 ,7.01 ,31.17 ,50.05 ,70.11 ,2,Prediction,"Xu et al., 2018",2014
18100,5115,36.67,112.08,0,0,15.78,0,100,50,1641.70 ,0.56 ,5.85 ,47.67 ,1223.00 ,0.47 ,7.19 ,28.16 ,50.17 ,71.94 ,2,Prediction,"Xu et al., 2018",2014
18101,5116,36.94,112.35,0,0,7.11,0,20,10,1753.55 ,0.55 ,5.55 ,46.98 ,1222.68 ,0.46 ,6.99 ,26.66 ,53.20 ,69.94 ,2,Prediction,"Xu et al., 2018",2014
18102,5116,36.94,112.35,0,0,18.89,0,100,50,1753.55 ,0.55 ,5.55 ,46.98 ,1222.68 ,0.46 ,7.12 ,25.81 ,51.88 ,71.23 ,2,Prediction,"Xu et al., 2018",2014
18103,5117,28.41,113.31,0,0,4.91,0,20,10,125.55 ,0.37 ,17.03 ,117.24 ,1182.04 ,1.19 ,4.77 ,36.13 ,36.91 ,47.67 ,2,Prediction,"Xu et al., 2018",2014
18104,5118,36.75,109.38,0,0,3.14,0,20,10,1037.48 ,0.42 ,9.97 ,41.96 ,1409.75 ,0.36 ,8.58 ,29.21 ,53.74 ,85.75 ,3,Prediction,"Xu et al., 2018",2014
18105,5118,36.75,109.38,0,0,7.25,0,100,50,1037.48 ,0.42 ,9.97 ,41.96 ,1409.75 ,0.36 ,8.72 ,26.79 ,55.34 ,87.16 ,3,Prediction,"Xu et al., 2018",2014
18106,5119,35.62,108.89,0,0,2.3,0,20,10,1312.98 ,0.68 ,8.74 ,45.66 ,1221.10 ,0.45 ,7.63 ,18.57 ,59.43 ,76.30 ,2,Prediction,"Xu et al., 2018",2014
18107,5119,35.62,108.89,0,0,6.51,0,100,50,1312.98 ,0.68 ,8.74 ,45.66 ,1221.10 ,0.45 ,7.82 ,16.72 ,59.89 ,78.22 ,2,Prediction,"Xu et al., 2018",2014
18108,5120,35.89,109.54,0,0,3.05,0,20,10,1125.78 ,0.46 ,9.46 ,44.08 ,1315.00 ,0.40 ,8.13 ,22.20 ,59.09 ,81.29 ,2,Prediction,"Xu et al., 2018",2014
18109,5120,35.89,109.54,0,0,6.69,0,100,50,1125.78 ,0.46 ,9.46 ,44.08 ,1315.00 ,0.40 ,8.38 ,19.35 ,61.23 ,83.82 ,2,Prediction,"Xu et al., 2018",2014
18110,5121,36.38,109.24,0,0,4.25,0,20,10,1023.15 ,0.48 ,9.89 ,43.42 ,1346.00 ,0.39 ,8.33 ,29.20 ,53.88 ,83.34 ,1,Prediction,"Xu et al., 2018",2014
18111,5121,36.38,109.24,0,0,10.07,0,100,50,1023.15 ,0.48 ,9.89 ,43.42 ,1346.00 ,0.39 ,8.49 ,26.59 ,55.56 ,84.88 ,1,Prediction,"Xu et al., 2018",2014
18112,5122,33.48,111.92,0,0,4.84,0,20,10,1205.64 ,0.63 ,11.15 ,73.83 ,1235.00 ,0.72 ,6.73 ,22.97 ,57.13 ,67.33 ,2,Prediction,"Xu et al., 2018",2014
18113,5122,33.48,111.92,0,0,12.24,0,100,50,1205.64 ,0.63 ,11.15 ,73.83 ,1235.00 ,0.72 ,6.85 ,20.31 ,57.73 ,68.47 ,2,Prediction,"Xu et al., 2018",2014
18114,5123,46.6253,129.3656,0,0,6.9,0,20,10,499.83 ,0.43 ,0.88 ,52.84 ,920.37 ,0.69 ,5.93 ,31.20 ,47.41 ,59.33 ,2,Prediction,"Xu et al., 2018",2014
18115,5123,46.6253,129.3656,0,0,18.7,0,100,50,499.83 ,0.43 ,0.88 ,52.84 ,920.37 ,0.69 ,6.19 ,39.43 ,42.09 ,61.89 ,2,Prediction,"Xu et al., 2018",2014
18116,5124,46.64,129.3614,0,0,7.86,0,20,10,779.25 ,0.50 ,0.09 ,54.42 ,908.00 ,0.72 ,5.84 ,33.93 ,40.73 ,58.39 ,2,Prediction,"Xu et al., 2018",2014
18117,5124,46.64,129.3614,0,0,18.99,0,100,50,779.25 ,0.50 ,0.09 ,54.42 ,908.00 ,0.72 ,6.10 ,43.11 ,37.33 ,60.97 ,2,Prediction,"Xu et al., 2018",2014
18118,5125,46.5836,129.3531,0,0,8.14,0,20,10,372.82 ,0.45 ,1.46 ,50.60 ,939.41 ,0.65 ,5.96 ,30.32 ,48.59 ,59.62 ,2,Prediction,"Xu et al., 2018",2014
18119,5125,46.5836,129.3531,0,0,15.43,0,100,50,372.82 ,0.45 ,1.46 ,50.60 ,939.41 ,0.65 ,6.25 ,37.93 ,43.03 ,62.54 ,2,Prediction,"Xu et al., 2018",2014
18120,5126,36.27,111.78,0,0,2.74,0,20,10,585.23 ,0.32 ,12.12 ,41.17 ,1454.00 ,0.34 ,8.57 ,29.52 ,52.57 ,85.69 ,2,Prediction,"Xu et al., 2018",2014
18121,5126,36.27,111.78,0,0,5.52,0,100,50,585.23 ,0.32 ,12.12 ,41.17 ,1454.00 ,0.34 ,8.76 ,23.29 ,57.67 ,87.60 ,2,Prediction,"Xu et al., 2018",2014
18122,5127,37.3293,113.5878,0,0,3.25,0,20,10,1285.08 ,0.56 ,7.40 ,46.67 ,1311.00 ,0.43 ,8.03 ,32.03 ,51.20 ,80.32 ,1,Prediction,"Xu et al., 2018",2014
18123,5127,37.3293,113.5878,0,0,7.69,0,100,50,1285.08 ,0.56 ,7.40 ,46.67 ,1311.00 ,0.43 ,8.25 ,30.29 ,52.40 ,82.54 ,1,Prediction,"Xu et al., 2018",2014
18124,5128,36.89,112.28,0,0,4.2,0,20,10,1512.00 ,0.48 ,6.75 ,45.34 ,1279.54 ,0.43 ,7.50 ,30.88 ,51.84 ,75.01 ,2,Prediction,"Xu et al., 2018",2014
18125,5128,36.89,112.28,0,0,13.95,0,100,50,1512.00 ,0.48 ,6.75 ,45.34 ,1279.54 ,0.43 ,7.70 ,27.64 ,52.74 ,77.05 ,2,Prediction,"Xu et al., 2018",2014
18126,5129,37.85,111.32,0,0,1.5,0,20,10,1443.60 ,0.68 ,6.36 ,41.11 ,1315.87 ,0.37 ,7.79 ,34.12 ,49.54 ,77.91 ,3,Prediction,"Xu et al., 2018",2014
18127,5129,37.85,111.32,0,0,4.7,0,100,50,1443.60 ,0.68 ,6.36 ,41.11 ,1315.87 ,0.37 ,8.04 ,33.78 ,49.35 ,80.43 ,3,Prediction,"Xu et al., 2018",2014
18128,5130,33.43,114.15,0,0,3.79,0,20,10,60.67 ,0.48 ,14.97 ,67.47 ,1338.00 ,0.60 ,7.51 ,21.60 ,56.65 ,75.08 ,3,Prediction,"Xu et al., 2018",2014
18129,5130,33.43,114.15,0,0,12.08,0,100,50,60.67 ,0.48 ,14.97 ,67.47 ,1338.00 ,0.60 ,7.78 ,18.69 ,59.81 ,77.80 ,3,Prediction,"Xu et al., 2018",2014
18130,5131,30.34,101.89,0,0,4.23,0,20,10,3857.23 ,0.45 ,2.56 ,61.30 ,907.09 ,0.81 ,6.31 ,29.10 ,51.74 ,63.11 ,4,Prediction,"Xu et al., 2018",2014
18131,5131,30.34,101.89,0,0,8.35,0,100,50,3857.23 ,0.45 ,2.56 ,61.30 ,907.09 ,0.81 ,6.59 ,37.09 ,46.06 ,65.92 ,4,Prediction,"Xu et al., 2018",2014
18132,5132,29.34,102.45,0,0,2.2,0,20,10,2185.38 ,0.62 ,11.32 ,80.11 ,1055.38 ,0.91 ,6.17 ,40.49 ,42.27 ,61.74 ,2,Prediction,"Xu et al., 2018",2014
18133,5132,29.34,102.45,0,0,5.45,0,100,50,2185.38 ,0.62 ,11.32 ,80.11 ,1055.38 ,0.91 ,6.34 ,38.19 ,43.03 ,63.36 ,2,Prediction,"Xu et al., 2018",2014
18134,5133,47.8103,133.7123,0,0,13,0,20,10,50.00 ,0.37 ,1.53 ,52.92 ,882.00 ,0.72 ,6.52 ,7.16 ,59.50 ,65.24 ,4,Prediction,"Xu et al., 2018",2014
18135,5134,31.45,110.54,0,0,8.15,0,20,10,1289.57 ,0.67 ,10.94 ,101.89 ,1016.84 ,1.20 ,6.47 ,31.44 ,50.68 ,64.74 ,2,Prediction,"Xu et al., 2018",2014
18136,5134,31.45,110.54,0,0,21.83,0,100,50,1289.57 ,0.67 ,10.94 ,101.89 ,1016.84 ,1.20 ,6.63 ,28.83 ,51.61 ,66.34 ,2,Prediction,"Xu et al., 2018",2014
18137,5135,31.38,110.18,0,0,8.17,0,20,10,1387.13 ,0.61 ,11.17 ,103.67 ,1043.00 ,1.19 ,6.55 ,29.90 ,51.57 ,65.46 ,2,Prediction,"Xu et al., 2018",2014
18138,5135,31.38,110.18,0,0,21.98,0,100,50,1387.13 ,0.61 ,11.17 ,103.67 ,1043.00 ,1.19 ,6.68 ,26.73 ,53.25 ,66.84 ,2,Prediction,"Xu et al., 2018",2014
18139,5136,31.55,110.27,0,0,11.07,0,20,10,1851.94 ,0.66 ,8.74 ,103.72 ,971.91 ,1.28 ,6.46 ,24.51 ,53.74 ,64.56 ,2,Prediction,"Xu et al., 2018",2014
18140,5136,31.55,110.27,0,0,27.19,0,100,50,1851.94 ,0.66 ,8.74 ,103.72 ,971.91 ,1.28 ,6.67 ,22.57 ,54.28 ,66.67 ,2,Prediction,"Xu et al., 2018",2014
18141,5137,39.7833,113.65,0,0,1.05,0,20,10,1196.42 ,0.41 ,6.37 ,32.87 ,1390.72 ,0.28 ,7.71 ,44.08 ,39.09 ,77.10 ,2,Prediction,"Xu et al., 2018",2014
18142,5137,39.7833,113.65,0,0,4.93,0,100,50,1196.42 ,0.41 ,6.37 ,32.87 ,1390.72 ,0.28 ,7.91 ,50.91 ,32.01 ,79.05 ,2,Prediction,"Xu et al., 2018",2014
18143,5138,40.15,113.55,0,0,1.57,0,20,10,1310.31 ,0.32 ,5.70 ,31.33 ,1388.42 ,0.27 ,7.64 ,41.59 ,40.58 ,76.39 ,2,Prediction,"Xu et al., 2018",2014
18144,5138,40.15,113.55,0,0,6.67,0,100,50,1310.31 ,0.32 ,5.70 ,31.33 ,1388.42 ,0.27 ,7.86 ,44.96 ,37.25 ,78.56 ,2,Prediction,"Xu et al., 2018",2014
18145,5139,40.1167,113.6167,0,0,1.61,0,20,10,1281.65 ,0.30 ,5.96 ,30.85 ,1399.93 ,0.26 ,7.80 ,46.37 ,34.55 ,78.02 ,3,Prediction,"Xu et al., 2018",2014
18146,5139,40.1167,113.6167,0,0,5.67,0,100,50,1281.65 ,0.30 ,5.96 ,30.85 ,1399.93 ,0.26 ,8.12 ,57.82 ,26.24 ,81.17 ,3,Prediction,"Xu et al., 2018",2014
18147,5140,42.5333,120.75,0,0,1.76,0,20,10,425.25 ,0.32 ,7.03 ,37.62 ,1439.84 ,0.31 ,7.52 ,36.06 ,46.05 ,75.21 ,4,Prediction,"Xu et al., 2018",2014
18148,5140,42.5333,120.75,0,0,5.48,0,100,50,425.25 ,0.32 ,7.03 ,37.62 ,1439.84 ,0.31 ,7.77 ,38.34 ,43.89 ,77.73 ,4,Prediction,"Xu et al., 2018",2014
18149,5141,42.3667,120.7667,0,0,1.78,0,20,10,399.59 ,0.31 ,7.39 ,38.46 ,1446.16 ,0.32 ,7.83 ,38.53 ,45.25 ,78.33 ,1,Prediction,"Xu et al., 2018",2014
18150,5141,42.3667,120.7667,0,0,5.84,0,100,50,399.59 ,0.31 ,7.39 ,38.46 ,1446.16 ,0.32 ,8.00 ,39.89 ,43.68 ,79.96 ,1,Prediction,"Xu et al., 2018",2014
18151,5142,40.1,113.6167,0,0,1.4,0,20,10,1162.98 ,0.27 ,6.39 ,30.82 ,1419.75 ,0.26 ,7.63 ,45.76 ,35.16 ,76.33 ,3,Prediction,"Xu et al., 2018",2014
18152,5142,40.1,113.6167,0,0,4.92,0,100,50,1162.98 ,0.27 ,6.39 ,30.82 ,1419.75 ,0.26 ,7.84 ,56.29 ,26.03 ,78.44 ,3,Prediction,"Xu et al., 2018",2014
18153,5143,42.4333,120.76,0,0,1.45,0,20,10,404.53 ,0.32 ,7.30 ,38.26 ,1450.43 ,0.32 ,8.11 ,41.10 ,40.62 ,81.11 ,1,Prediction,"Xu et al., 2018",2014
18154,5143,42.4333,120.76,0,0,4.26,0,100,50,404.53 ,0.32 ,7.30 ,38.26 ,1450.43 ,0.32 ,8.27 ,40.55 ,41.46 ,82.69 ,1,Prediction,"Xu et al., 2018",2014
18155,5144,41.21,116.8,0,0,1.13,0,20,10,709.00 ,0.57 ,7.32 ,38.33 ,1346.54 ,0.34 ,7.34 ,37.37 ,43.68 ,73.43 ,3,Prediction,"Xu et al., 2018",2014
18156,5144,41.21,116.8,0,0,4.65,0,100,50,709.00 ,0.57 ,7.32 ,38.33 ,1346.54 ,0.34 ,7.46 ,35.00 ,44.76 ,74.63 ,3,Prediction,"Xu et al., 2018",2014
18157,5145,41.2833,116.8667,0,0,1.86,0,20,10,994.17 ,0.38 ,5.80 ,39.33 ,1289.74 ,0.37 ,7.01 ,35.68 ,44.32 ,70.05 ,2,Prediction,"Xu et al., 2018",2014
18158,5145,41.2833,116.8667,0,0,7.97,0,100,50,994.17 ,0.38 ,5.80 ,39.33 ,1289.74 ,0.37 ,7.05 ,35.21 ,44.07 ,70.51 ,2,Prediction,"Xu et al., 2018",2014
18159,5146,41.1667,116.75,0,0,2.44,0,20,10,660.26 ,0.53 ,7.32 ,38.20 ,1324.84 ,0.35 ,7.46 ,33.48 ,48.44 ,74.59 ,2,Prediction,"Xu et al., 2018",2014
18160,5146,41.1667,116.75,0,0,8.06,0,100,50,660.26 ,0.53 ,7.32 ,38.20 ,1324.84 ,0.35 ,7.54 ,31.27 ,49.87 ,75.41 ,2,Prediction,"Xu et al., 2018",2014
18161,5147,40.03,113.61,0,0,1.27,0,20,10,1074.19 ,0.28 ,6.93 ,30.08 ,1447.00 ,0.25 ,7.89 ,49.73 ,35.34 ,78.95 ,7,Prediction,"Xu et al., 2018",2014
18162,5147,40.03,113.61,0,0,4.75,0,100,50,1074.19 ,0.28 ,6.93 ,30.08 ,1447.00 ,0.25 ,8.05 ,46.27 ,37.15 ,80.46 ,7,Prediction,"Xu et al., 2018",2014
18163,5148,26.96,109.92,0,0,2.91,0,20,10,451.00 ,0.55 ,16.36 ,109.58 ,1101.00 ,1.19 ,5.18 ,17.99 ,52.36 ,51.80 ,2,Prediction,"Xu et al., 2018",2014
18164,5148,26.96,109.92,0,0,6.22,0,100,50,451.00 ,0.55 ,16.36 ,109.58 ,1101.00 ,1.19 ,5.29 ,18.68 ,51.50 ,52.92 ,2,Prediction,"Xu et al., 2018",2014
18165,5149,26.79,109.82,0,0,3.23,0,20,10,510.28 ,0.62 ,16.06 ,110.83 ,1096.00 ,1.21 ,5.49 ,16.77 ,50.14 ,54.87 ,2,Prediction,"Xu et al., 2018",2014
18166,5149,26.79,109.82,0,0,6.93,0,100,50,510.28 ,0.62 ,16.06 ,110.83 ,1096.00 ,1.21 ,5.52 ,16.93 ,50.13 ,55.18 ,2,Prediction,"Xu et al., 2018",2014
18167,5150,26.87,109.95,0,0,4.96,0,20,10,295.68 ,0.58 ,16.85 ,109.14 ,1118.76 ,1.17 ,5.34 ,17.34 ,51.68 ,53.41 ,2,Prediction,"Xu et al., 2018",2014
18168,5150,26.87,109.95,0,0,9.06,0,100,50,295.68 ,0.58 ,16.85 ,109.14 ,1118.76 ,1.17 ,5.52 ,19.97 ,47.85 ,55.23 ,2,Prediction,"Xu et al., 2018",2014
18169,5151,26.83,109.85,0,0,0.33,0,20,10,475.26 ,0.64 ,16.18 ,110.55 ,1093.56 ,1.21 ,5.33 ,18.65 ,50.98 ,53.31 ,2,Prediction,"Xu et al., 2018",2014
18170,5151,26.83,109.85,0,0,0.6,0,100,50,475.26 ,0.64 ,16.18 ,110.55 ,1093.56 ,1.21 ,5.35 ,17.76 ,49.98 ,53.51 ,2,Prediction,"Xu et al., 2018",2014
18171,5152,26.81,109.95,0,0,2.91,0,20,10,382.82 ,0.59 ,16.53 ,110.83 ,1108.51 ,1.20 ,5.11 ,16.42 ,51.79 ,51.15 ,2,Prediction,"Xu et al., 2018",2014
18172,5152,26.81,109.95,0,0,5.52,0,100,50,382.82 ,0.59 ,16.53 ,110.83 ,1108.51 ,1.20 ,5.23 ,17.34 ,50.27 ,52.27 ,2,Prediction,"Xu et al., 2018",2014
18173,5153,43.42,121.38,0,0,2.15,0,20,10,236.19 ,0.23 ,7.01 ,35.50 ,1463.00 ,0.29 ,8.45 ,46.61 ,33.09 ,84.50 ,1,Prediction,"Xu et al., 2018",2014
18174,5153,43.42,121.38,0,0,7.24,0,100,50,236.19 ,0.23 ,7.01 ,35.50 ,1463.00 ,0.29 ,8.73 ,45.27 ,37.43 ,87.30 ,1,Prediction,"Xu et al., 2018",2014
18175,5154,35.9784,109.3768,0,0,3.59,0,20,10,1015.87 ,0.47 ,10.02 ,44.26 ,1326.50 ,0.40 ,7.98 ,25.12 ,57.54 ,79.80 ,2,Prediction,"Xu et al., 2018",2014
18176,5154,35.9784,109.3768,0,0,7.67,0,100,50,1015.87 ,0.47 ,10.02 ,44.26 ,1326.50 ,0.40 ,8.13 ,22.68 ,59.60 ,81.27 ,2,Prediction,"Xu et al., 2018",2014
18177,5155,35.9808,109.3826,0,0,3.87,0,20,10,1033.97 ,0.47 ,10.01 ,44.25 ,1326.00 ,0.40 ,8.06 ,23.43 ,58.75 ,80.56 ,2,Prediction,"Xu et al., 2018",2014
18178,5155,35.9808,109.3826,0,0,8.66,0,100,50,1033.97 ,0.47 ,10.01 ,44.25 ,1326.00 ,0.40 ,8.26 ,21.22 ,61.13 ,82.64 ,2,Prediction,"Xu et al., 2018",2014
18179,5156,35.9809,109.3823,0,0,3.87,0,20,10,1033.41 ,0.47 ,10.01 ,44.25 ,1326.00 ,0.40 ,8.05 ,23.45 ,58.74 ,80.46 ,2,Prediction,"Xu et al., 2018",2014
18180,5156,35.9809,109.3823,0,0,8.27,0,100,50,1033.41 ,0.47 ,10.01 ,44.25 ,1326.00 ,0.40 ,8.25 ,21.18 ,61.17 ,82.51 ,2,Prediction,"Xu et al., 2018",2014
18181,5157,35.9844,109.3859,0,0,4.22,0,20,10,1058.77 ,0.45 ,9.83 ,44.26 ,1322.68 ,0.40 ,8.09 ,22.99 ,59.31 ,80.91 ,2,Prediction,"Xu et al., 2018",2014
18182,5157,35.9844,109.3859,0,0,10.66,0,100,50,1058.77 ,0.45 ,9.83 ,44.26 ,1322.68 ,0.40 ,8.32 ,20.22 ,61.90 ,83.24 ,2,Prediction,"Xu et al., 2018",2014
18183,5158,35.9812,109.3892,0,0,4.36,0,20,10,1101.03 ,0.46 ,9.75 ,44.08 ,1320.00 ,0.40 ,8.23 ,23.60 ,58.50 ,82.26 ,2,Prediction,"Xu et al., 2018",2014
18184,5158,35.9812,109.3892,0,0,9.75,0,100,50,1101.03 ,0.46 ,9.75 ,44.08 ,1320.00 ,0.40 ,8.44 ,21.90 ,60.34 ,84.40 ,2,Prediction,"Xu et al., 2018",2014
18185,5159,32.7677,107.2035,0,0,2.78,0,20,10,1301.21 ,0.70 ,11.26 ,78.18 ,971.65 ,0.97 ,6.51 ,24.17 ,56.26 ,65.09 ,2,Prediction,"Xu et al., 2018",2014
18186,5159,32.7677,107.2035,0,0,7.13,0,100,50,1301.21 ,0.70 ,11.26 ,78.18 ,971.65 ,0.97 ,6.70 ,22.44 ,56.77 ,66.97 ,2,Prediction,"Xu et al., 2018",2014
18187,5160,32.7851,107.1184,0,0,3.26,0,20,10,1177.81 ,0.62 ,12.12 ,77.86 ,996.65 ,0.94 ,6.53 ,18.41 ,59.05 ,65.31 ,2,Prediction,"Xu et al., 2018",2014
18188,5160,32.7851,107.1184,0,0,8.47,0,100,50,1177.81 ,0.62 ,12.12 ,77.86 ,996.65 ,0.94 ,6.79 ,17.60 ,59.09 ,67.95 ,2,Prediction,"Xu et al., 2018",2014
18189,5161,33.9002,106.5215,0,0,3.58,0,20,10,1307.50 ,0.61 ,11.44 ,58.79 ,1100.43 ,0.64 ,7.68 ,12.75 ,64.68 ,76.80 ,2,Prediction,"Xu et al., 2018",2014
18190,5161,33.9002,106.5215,0,0,8.23,0,100,50,1307.50 ,0.61 ,11.44 ,58.79 ,1100.43 ,0.64 ,7.73 ,12.46 ,64.16 ,77.34 ,2,Prediction,"Xu et al., 2018",2014
18191,5162,33.9023,106.5267,0,0,3.58,0,20,10,1153.09 ,0.61 ,11.87 ,58.50 ,1114.00 ,0.63 ,7.80 ,14.03 ,64.23 ,78.03 ,2,Prediction,"Xu et al., 2018",2014
18192,5162,33.9023,106.5267,0,0,10.69,0,100,50,1153.09 ,0.61 ,11.87 ,58.50 ,1114.00 ,0.63 ,7.82 ,15.03 ,62.57 ,78.25 ,2,Prediction,"Xu et al., 2018",2014
18193,5163,33.8959,106.5151,0,0,3.7,0,20,10,1302.19 ,0.60 ,11.19 ,58.88 ,1093.17 ,0.65 ,7.63 ,14.56 ,62.68 ,76.32 ,2,Prediction,"Xu et al., 2018",2014
18194,5163,33.8959,106.5151,0,0,9.25,0,100,50,1302.19 ,0.60 ,11.19 ,58.88 ,1093.17 ,0.65 ,7.67 ,12.69 ,64.09 ,76.74 ,2,Prediction,"Xu et al., 2018",2014
18195,5164,33.8959,106.5217,0,0,3.74,0,20,10,1363.38 ,0.62 ,10.83 ,59.08 ,1082.00 ,0.65 ,7.67 ,13.79 ,63.15 ,76.70 ,2,Prediction,"Xu et al., 2018",2014
18196,5164,33.8959,106.5217,0,0,10.74,0,100,50,1363.38 ,0.62 ,10.83 ,59.08 ,1082.00 ,0.65 ,7.71 ,12.15 ,64.08 ,77.12 ,2,Prediction,"Xu et al., 2018",2014
18197,5165,33.9038,106.5167,0,0,4.24,0,20,10,1135.81 ,0.60 ,11.63 ,58.68 ,1106.52 ,0.64 ,7.71 ,13.85 ,63.73 ,77.12 ,2,Prediction,"Xu et al., 2018",2014
18198,5165,33.9038,106.5167,0,0,13.49,0,100,50,1135.81 ,0.60 ,11.63 ,58.68 ,1106.52 ,0.64 ,7.75 ,15.13 ,62.08 ,77.50 ,2,Prediction,"Xu et al., 2018",2014
18199,5166,32.6868,107.2402,0,0,3.02,0,20,10,1809.15 ,0.67 ,9.22 ,80.03 ,916.77 ,1.05 ,6.21 ,21.37 ,56.82 ,62.08 ,2,Prediction,"Xu et al., 2018",2014
18200,5166,32.6868,107.2402,0,0,6.86,0,100,50,1809.15 ,0.67 ,9.22 ,80.03 ,916.77 ,1.05 ,6.46 ,20.56 ,56.43 ,64.59 ,2,Prediction,"Xu et al., 2018",2014
18201,5167,32.7548,107.0963,0,0,3.36,0,20,10,1546.18 ,0.64 ,10.08 ,78.50 ,941.00 ,1.00 ,6.31 ,22.43 ,56.43 ,63.07 ,2,Prediction,"Xu et al., 2018",2014
18202,5167,32.7548,107.0963,0,0,10.35,0,100,50,1546.18 ,0.64 ,10.08 ,78.50 ,941.00 ,1.00 ,6.49 ,21.10 ,57.11 ,64.89 ,2,Prediction,"Xu et al., 2018",2014
18203,5168,32.7,107.1839,0,0,3.84,0,20,10,1694.01 ,0.69 ,9.64 ,78.37 ,937.72 ,1.00 ,6.29 ,22.80 ,55.82 ,62.87 ,2,Prediction,"Xu et al., 2018",2014
18204,5168,32.7,107.1839,0,0,10.53,0,100,50,1694.01 ,0.69 ,9.64 ,78.37 ,937.72 ,1.00 ,6.48 ,19.35 ,57.86 ,64.83 ,2,Prediction,"Xu et al., 2018",2014
18205,5169,36.7394,109.2594,0,0,1.29,0,20,10,1233.22 ,0.44 ,9.19 ,40.79 ,1382.35 ,0.35 ,8.54 ,23.25 ,59.50 ,85.45 ,3,Prediction,"Xu et al., 2018",2014
18206,5169,36.7394,109.2594,0,0,3.44,0,100,50,1233.22 ,0.44 ,9.19 ,40.79 ,1382.35 ,0.35 ,8.67 ,21.85 ,61.07 ,86.65 ,3,Prediction,"Xu et al., 2018",2014
18207,5170,36.07,109.18,0,0,4.13,0,20,10,1181.38 ,0.50 ,9.32 ,43.67 ,1293.00 ,0.40 ,8.11 ,20.21 ,60.71 ,81.11 ,1,Prediction,"Xu et al., 2018",2014
18208,5170,36.07,109.18,0,0,9.56,0,100,50,1181.38 ,0.50 ,9.32 ,43.67 ,1293.00 ,0.40 ,8.30 ,17.64 ,62.50 ,83.05 ,1,Prediction,"Xu et al., 2018",2014
